Distance from Lap Line (m),Elevation (m),UTMX,UTMY,LongX,LatY,rayon_de_courbure,rayon_de_courbure_clipped
158.0,206.0244,436051.7851,296081.5366,18.09750115,50.52830383,42.75908127153881,42.75908127153881
159.0,206.0304,436051.6262,296080.5495,18.09749907,50.52829494,64.15008795428412,64.15008795428412
160.0,206.0443,436051.4519,296079.5648,18.09749678,50.52828606,28.47053403919698,28.47053403919698
161.0,206.066,436051.2432,296078.5871,18.09749401,50.52827725,68.52184783904565,68.52184783904565
162.0,206.0672,436051.0202,296077.6123,18.09749103,50.52826845,27.476076489105985,27.476076489105985
163.0,206.0784,436050.7619,296076.6463,18.09748755,50.52825974,120.5061040451827,120.5061040451827
164.0,206.0824,436050.4956,296075.6825,18.09748396,50.52825104,23.768536360054497,23.768536360054497
165.0,206.0809,436050.189,296074.7307,18.09747979,50.52824244,206.66303875969794,206.66303875969794
166.0,206.0893,436049.8778,296073.7804,18.09747556,50.52823386,21.137465319256705,21.137465319256705
167.0,206.0952,436049.522,296072.8458,18.0974707,50.52822542,187.69298927515572,187.69298927515572
168.0,206.11,436049.1613,296071.9133,18.09746577,50.52821699,27.131614973347098,27.131614973347098
169.0,206.1388,436048.7664,296070.9945,18.09746036,50.52820868,99.78869412575249,99.78869412575249
170.0,206.14,436048.3624,296070.0799,18.09745482,50.52820041,29.585891128956952,29.585891128956952
171.0,206.1587,436047.9277,296069.1794,18.09744884,50.52819226,61.920184473211,61.920184473211
172.0,206.1622,436047.4786,296068.2862,18.09744265,50.52818418,30.73820852989568,30.73820852989568
173.0,206.17,436047.0006,296067.4079,18.09743606,50.52817623,45.92089605751743,45.92089605751743
174.0,206.1522,436046.5037,296066.5404,18.09742919,50.52816837,34.75193080579284,34.75193080579284
175.0,206.1454,436045.9819,296065.6873,18.09742198,50.52816064,42.00529586723982,42.00529586723982
176.0,206.19,436045.4401,296064.8471,18.09741448,50.52815302,47.29733906945795,47.29733906945795
177.0,206.1829,436044.8805,296064.0183,18.09740672,50.52814551,30.115715904498288,30.115715904498288
178.0,206.2165,436044.2939,296063.2088,18.09739858,50.52813816,51.097324187528926,51.097324187528926
179.0,206.2193,436043.6914,296062.4107,18.09739022,50.52813092,17.924859940237994,17.924859940237994
180.0,206.22,436043.0458,296061.6479,18.09738124,50.52812398,45.954227227736524,45.954227227736524
181.0,206.2206,436042.3833,296060.8988,18.09737202,50.52811717,17.326840676868795,17.326840676868795
182.0,206.2467,436041.679,296060.1894,18.0973622,50.52811072,77.67534966912704,77.67534966912704
183.0,206.2383,436040.9654,296059.4889,18.09735225,50.52810434,15.574306526250615,15.574306526250615
184.0,206.2438,436040.2085,296058.8357,18.09734168,50.52809838,147.24706396199753,147.24706396199753
185.0,206.263,436039.447,296058.1875,18.09733105,50.52809246,10.999094210061093,10.999094210061093
186.0,206.2855,436038.6299,296057.611,18.09731962,50.52808719,95.91258408399361,95.91258408399361
187.0,206.2805,436037.8072,296057.0433,18.09730811,50.52808199,13.528875922586792,13.528875922586792
188.0,206.2831,436036.9445,296056.5376,18.09729602,50.52807735,54.370307022380764,54.370307022380764
189.0,206.28,436036.0731,296056.0481,18.09728381,50.52807285,16.25732827764228,16.25732827764228
190.0,206.3055,436035.1728,296055.6128,18.09727118,50.52806884,29.14248381057117,29.14248381057117
191.0,206.3,436034.2592,296055.2091,18.09725836,50.52806511,15.080286254601448,15.080286254601448
192.0,206.3183,436033.3197,296054.8663,18.09724516,50.52806192,22.619878471596024,22.619878471596024
193.0,206.3276,436032.3672,296054.5657,18.09723177,50.52805911,18.553947376978538,18.553947376978538
194.0,206.3335,436031.3988,296054.3165,18.09721815,50.52805676,17.334167126711186,17.334167126711186
195.0,206.32,436030.4188,296054.1237,18.09720435,50.52805492,23.083518183665603,23.083518183665603
196.0,206.34,436029.4302,296053.9733,18.09719043,50.52805346,17.44196844176513,17.44196844176513
197.0,206.3759,436028.4353,296053.8798,18.0971764,50.52805251,39.895427051956204,39.895427051956204
198.0,206.3853,436027.4376,296053.8112,18.09716234,50.52805179,15.450842654859173,15.450842654859173
199.0,206.3897,436026.4382,296053.8072,18.09714823,50.52805164,59.49167209335851,59.49167209335851
